case_id,article_id,start,end,surface_text,is_range,value,range_low,range_high,unit,unit_norm,unit_category,linked_entity_start,linked_entity_end,linked_entity_surface,linked_entity_type,link_method,linked_entity_cui,linked_entity_id
PMC11131390_01,PMC11131390,1867,1875,66 years,False,66,,,years,years,time,1854,1865,patient age,Finding,same_sentence,C4698447,concept:C4698447
PMC11131390_01,PMC11131390,1894,1899,71 kg,False,71,,,kg,kg,mass,1854,1865,patient age,Finding,same_sentence,C4698447,concept:C4698447
PMC11131390_01,PMC11131390,2187,2196,45 months,False,45,,,months,months,time,1964,1977,levothyroxine,Treatment,same_sentence,C0040165,concept:C0040165
PMC11131390_01,PMC11131390,2283,2291,0.8 IU/L,False,0.8,,,IU/L,iu/l,lab_concentration,,,,,none,,
PMC11131390_01,PMC11131390,2421,2429,4 months,False,4,,,months,months,time,2383,2397,hypothyroidism,Diagnosis,same_sentence,C0020676,concept:C0020676
PMC11259348_P1,PMC11259348,161,167,4 g/dL,False,4,,,g/dL,g/dl,lab_concentration,140,156,hemoglobin level,Exam,same_sentence,C0019029,concept:C0019029
PMC11259348_P1,PMC11259348,2599,2602,50%,False,50,,,%,%,percentage,,,,,none,,
PMC11259348_P1,PMC11259348,3055,3058,50%,False,50,,,%,%,percentage,2859,2863,"2, P",Treatment,same_sentence,C0608663,concept:C0608663
PMC11259348_P1,PMC11259348,3241,3244,50%,False,50,,,%,%,percentage,3189,3196,a group,Finding,same_sentence,C4522145,concept:C4522145
PMC11259348_P1,PMC11259348,3442,3448,30 min,False,30,,,min,min,time,3449,3466,incubation period,Finding,same_sentence_forward,C1320226,concept:C1320226
PMC11345641_01,PMC11345641,736,742,289U/L,False,289,,,U/L,u/l,lab_concentration,680,707,serum lactate dehydrogenase,Exam,same_sentence,C1278052,concept:C1278052
PMC11345641_01,PMC11345641,859,864,8.4cm,False,8.4,,,cm,cm,length,832,838,uterus,BodyPart,same_sentence,C0042149,concept:C0042149
PMC11345641_01,PMC11345641,988,992,15mm,False,15,,,mm,mm,length,974,984,thickening,Finding,same_sentence,C0205400,concept:C0205400
PMC11345641_01,PMC11345641,1152,1158,12.6cm,False,12.6,,,cm,cm,length,1104,1117,anterior wall,BodyPart,same_sentence,C0227225,concept:C0227225
PMC11345641_01,PMC11345641,1165,1168,80%,False,80,,,%,%,percentage,1104,1117,anterior wall,BodyPart,same_sentence,C0227225,concept:C0227225
PMC11345641_01,PMC11345641,1657,1662,12 cm,False,12,,,cm,cm,length,1629,1637,fibroids,Diagnosis,same_sentence,C0042133,concept:C0042133
PMC11345641_01,PMC11345641,2352,2358,7.8 cm,False,7.8,,,cm,cm,length,2204,2219,ultrasonography,Exam,same_sentence,C0041618,concept:C0041618
PMC11345641_01,PMC11345641,2776,2783,340 U/L,False,340,,,U/L,u/l,lab_concentration,2717,2725,Serum CA,Exam,same_sentence,C0728876,concept:C0728876
PMC11345641_01,PMC11345641,3035,3039,5 cm,False,5,,,cm,cm,length,2983,2999,limited mobility,Finding,window_fallback,C0518456,concept:C0518456
PMC11345641_01,PMC11345641,3338,3343,20 cm,False,20,,,cm,cm,length,3313,3320,surgery,Treatment,same_sentence,C0543467,concept:C0543467
PMC11345641_01,PMC11345641,3666,3670,3 cm,False,3,,,cm,cm,length,3653,3659,tumors,Diagnosis,same_sentence,C0027651,concept:C0027651
PMC11345641_01,PMC11345641,3763,3767,7 cm,False,7,,,cm,cm,length,3750,3756,tumors,Diagnosis,same_sentence,C0027651,concept:C0027651
PMC11345641_01,PMC11345641,3867,3871,4 cm,False,4,,,cm,cm,length,3821,3832,lymph nodes,BodyPart,same_sentence,C0024204,concept:C0024204
PMC11368112_01,PMC11368112,26,31,2-day,False,2,,,day,day,time,43,58,chest tightness,Symptom,same_sentence_forward,C0232292,concept:C0232292
PMC11368112_01,PMC11368112,532,535,85%,False,85,,,%,%,percentage,405,422,rapid respiration,Finding,window_fallback,C0231835,concept:C0231835
PMC11368112_01,PMC11368112,542,549,65 mg/L,False,65,,,mg/L,mg/l,lab_concentration,405,422,rapid respiration,Finding,window_fallback,C0231835,concept:C0231835
PMC11368112_01,PMC11368112,556,561,55 mm,False,55,,,mm,mm,length,405,422,rapid respiration,Finding,window_fallback,C0231835,concept:C0231835
PMC11368112_01,PMC11368112,578,588,26.12 mg/L,False,26.12,,,mg/L,mg/l,lab_concentration,,,,,none,,
PMC11368112_01,PMC11368112,1783,1787,3 cm,False,3,,,cm,cm,length,1725,1737,intracardiac,BodyPart,window_fallback,C0729936,concept:C0729936
PMC11368112_01,PMC11368112,2280,2290,0.2-0.8 cm,True,,0.2,0.8,cm,cm,length,2263,2278,multiple ulcers,Diagnosis,same_sentence,C1265815,concept:C1265815
PMC11368112_01,PMC11368112,2966,2971,80 mg,False,80,,,mg,mg,mass,2944,2962,methylprednisolone,Treatment,same_sentence,C0025815,concept:C0025815
PMC11368112_01,PMC11368112,3000,3005,60 mg,False,60,,,mg,mg,mass,2944,2962,methylprednisolone,Treatment,same_sentence,C0025815,concept:C0025815
PMC11368112_01,PMC11368112,3043,3047,5 mg,False,5,,,mg,mg,mass,3032,3039,reduced,Finding,same_sentence,C0392756,concept:C0392756
PMC11368112_01,PMC11368112,3064,3068,5 mg,False,5,,,mg,mg,mass,3032,3039,reduced,Finding,same_sentence,C0392756,concept:C0392756
PMC11368112_01,PMC11368112,3093,3099,200 mg,False,200,,,mg,mg,mass,3077,3089,cyclosporine,Treatment,same_sentence,C0010592,concept:C0010592
PMC11368112_01,PMC11368112,3330,3337,14 days,False,14,,,days,days,time,,,,,none,,
PMC11420039_01,PMC11420039,143,150,2 weeks,False,2,,,weeks,weeks,time,87,92,limbs,BodyPart,same_sentence,C0015385,concept:C0015385
PMC11420039_01,PMC11420039,609,616,1000 cm,False,1000,,,cm,cm,length,503,514,lower limbs,BodyPart,window_fallback,C0023216,concept:C0023216
